lap_distance_m,session_uid,session_time,frame_id,player_car_index,lap_num,total_distance_m,sector,lap_invalid,pit_status,speed_kph,throttle,brake,steer,gear,rpm,g_lat,g_long,pos_x,pos_z,lap_time_s,drs
0.0,fastf1_2024_japan_q_VER,4222.217,0,1,11,0.0,1,0,0,282.0,1.0,0.0,,7,11189.0,,,190.6,73.5,88.197,12
5.0,fastf1_2024_japan_q_VER,4222.218793746079,1,1,11,5.0,1,0,0,282.0320311800018,1.0,0.0,,7,11189.685467252039,,,190.6,73.5,88.197,12
10.0,fastf1_2024_japan_q_VER,4222.281512140489,2,1,11,10.0,1,0,0,283.1520025087358,1.0,0.0,,7,11213.652853686946,,,190.6,73.5,88.197,12
15.0,fastf1_2024_japan_q_VER,4222.344230534898,3,1,11,15.0,1,0,0,284.2719738374698,1.0,0.0,,7,11237.620240121852,,,190.6,73.5,88.197,12
20.0,fastf1_2024_japan_q_VER,4222.406948929308,4,1,11,20.0,1,0,0,285.39194516620375,1.0,0.0,,7,11261.58762655676,,,190.6,73.5,88.197,12
25.0,fastf1_2024_japan_q_VER,4222.469667323717,5,1,11,25.0,1,0,0,286.51191649493774,1.0,0.0,,7,11285.555012991668,,,190.6,73.5,88.197,12
30.0,fastf1_2024_japan_q_VER,4222.532020172911,6,1,11,30.0,1,0,0,287.37521613832854,1.0,0.0,,7,11309.507780979828,,,191.63809798270893,73.43746397694524,88.197,12
35.0,fastf1_2024_japan_q_VER,4222.594090667258,7,1,11,35.0,1,0,0,288.0402571491909,1.0,0.0,,7,11333.44925737087,,,193.47804477942807,73.32662380846818,88.197,12
40.0,fastf1_2024_japan_q_VER,4222.656161161605,8,1,11,40.0,1,0,0,288.7052981600532,1.0,0.0,,7,11357.390733761915,,,195.3179915761472,73.21578363999113,88.197,12
45.0,fastf1_2024_japan_q_VER,4222.718231655952,9,1,11,45.0,1,0,0,289.37033917091554,1.0,0.0,,7,11381.33221015296,,,197.15793837286634,73.10494347151408,88.197,12
50.0,fastf1_2024_japan_q_VER,4222.780290721649,10,1,11,50.0,1,0,0,290.01371134020616,1.0,0.0,,7,11405.768762886599,,,199.15914432989692,72.98903092783505,88.197,12
55.0,fastf1_2024_japan_q_VER,4222.842146391753,11,1,11,55.0,1,0,0,290.2714432989691,1.0,0.0,,7,11439.01618556701,,,204.03027835051546,72.78284536082474,88.197,12
60.0,fastf1_2024_japan_q_VER,4222.904002061856,12,1,11,60.0,1,0,0,290.52917525773194,1.0,0.0,,7,11472.263608247422,,,208.90141237113403,72.57665979381443,88.197,12
65.0,fastf1_2024_japan_q_VER,4222.965857731959,13,1,11,65.0,1,0,0,290.78690721649485,1.0,0.0,,7,11505.511030927835,,,213.7725463917526,72.37047422680412,88.197,12
70.0,fastf1_2024_japan_q_VER,4223.027568063945,14,1,11,70.0,1,0,0,291.21136127890657,1.0,0.0,,7,11535.377814387699,,,218.36010738910247,72.17886387210935,88.197,12
75.0,fastf1_2024_japan_q_VER,4223.088584599426,15,1,11,75.0,1,0,0,292.4316919885289,1.0,0.0,,7,11549.10653487095,,,221.59398376960158,72.05683080114711,88.197,12
80.0,fastf1_2024_japan_q_VER,4223.149601134907,16,1,11,80.0,1,0,0,293.6520226981512,1.0,0.0,,7,11562.8352553542,,,224.8278601501007,71.93479773018488,88.197,12
85.0,fastf1_2024_japan_q_VER,4223.210617670388,17,1,11,85.0,1,0,0,294.8723534077735,1.0,0.0,,7,11576.563975837453,,,228.0617365305998,71.81276465922265,88.197,12
90.0,fastf1_2024_japan_q_VER,4223.271083408835,18,1,11,90.0,1,0,0,295.3687505147846,1.0,0.0,,7,11446.84773357494,,,230.63708645636,71.70166652939076,88.197,12
95.0,fastf1_2024_japan_q_VER,4223.331484803558,19,1,11,95.0,1,0,0,295.7805782060786,1.0,0.0,,7,11300.374351371385,,,233.13550778354337,71.59184581171237,88.197,12
100.0,fastf1_2024_japan_q_VER,4223.391886198281,20,1,11,100.0,1,0,0,296.19240589737257,1.0,0.0,,7,11153.900969167833,,,235.63392911072674,71.48202509403399,88.197,12
105.0,fastf1_2024_japan_q_VER,4223.452287593004,21,1,11,105.0,1,0,0,296.6042335886665,1.0,0.0,,8,11007.42758696428,,,238.1323504379101,71.3722043763556,88.197,12
110.0,fastf1_2024_japan_q_VER,4223.512688987727,22,1,11,110.0,1,0,0,297.01606127996047,1.0,0.0,,8,10860.954204760728,,,240.63077176509347,71.26238365867721,88.197,12
115.0,fastf1_2024_japan_q_VER,4223.573090382451,23,1,11,115.0,1,0,0,297.42788897125445,1.0,0.0,,8,10714.480822557176,,,243.12919309227686,71.15256294099882,88.197,12
120.0,fastf1_2024_japan_q_VER,4223.633491777174,24,1,11,120.0,1,0,0,297.83971666254837,1.0,0.0,,8,10568.007440353622,,,245.62761441946023,71.04274222332043,88.197,12
125.0,fastf1_2024_japan_q_VER,4223.693648916223,25,1,11,125.0,1,0,0,298.22905572639314,1.0,0.0,,8,10535.738018450462,,,248.71876546913674,70.90837770944273,88.197,12
130.0,fastf1_2024_japan_q_VER,4223.753650416261,26,1,11,130.0,1,0,0,298.60406510162755,1.0,0.0,,8,10576.239030975774,,,252.18760219005475,70.75837395934899,88.197,12
135.0,fastf1_2024_japan_q_VER,4223.813651916298,27,1,11,135.0,1,0,0,298.9790744768619,1.0,0.0,,8,10616.740043501088,,,255.65643891097278,70.60837020925523,88.197,12
140.0,fastf1_2024_japan_q_VER,4223.873653416335,28,1,11,140.0,1,0,0,299.3540838520963,1.0,0.0,,8,10657.241056026402,,,259.1252756318908,70.45836645916148,88.197,12
145.0,fastf1_2024_japan_q_VER,4223.933654916373,29,1,11,145.0,1,0,0,299.7290932273307,1.0,0.0,,8,10697.742068551714,,,262.59411235280885,70.30836270906772,88.197,12
150.0,fastf1_2024_japan_q_VER,4223.99343645591,30,1,11,150.0,1,0,0,300.23480651300486,1.0,0.0,,8,10732.400549799111,,,265.92769295834216,70.16477902304928,88.197,12
155.0,fastf1_2024_japan_q_VER,4224.052645591034,31,1,11,155.0,1,0,0,301.08065130048635,1.0,0.0,,8,10751.854979911186,,,268.90929583421445,70.03790230492704,88.197,12
160.0,fastf1_2024_japan_q_VER,4224.111854726158,32,1,11,160.0,1,0,0,301.92649608796785,1.0,0.0,,8,10771.309410023261,,,271.89089871008673,69.91102558680483,88.197,12
